ID,age,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season_no,total_season,block_id
63,25.0,76,10.3,8.5,1.6,-3.5,0.115,0.223,0.168,0.66,0.0969999999999999,3,3,37
102,27.0,56,10.1,7.3,2.2,-5.1,0.068,0.209,0.15,0.608,0.126,1,3,62
102,28.0,35,9.3,6.7,3.1,-5.6,0.049,0.1689999999999999,0.139,0.557,0.145,2,3,62
102,29.0,46,7.0,5.4,1.8,-1.9,0.069,0.173,0.128,0.59,0.115,3,3,62
44,27.0,66,5.9,1.9,0.7,-1.1,0.015,0.1169999999999999,0.163,0.589,0.069,1,3,24
44,28.0,72,6.9,2.4,0.8,14.6,0.024,0.1169999999999999,0.1689999999999999,0.602,0.071,2,3,24
44,29.0,76,9.2,2.7,1.3,1.9,0.0139999999999999,0.0969999999999999,0.16,0.594,0.09,3,3,24
2,33.0,32,8.4,3.7,2.3,-4.6,0.038,0.145,0.186,0.5720000000000001,0.177,1,3,0
2,34.0,51,7.2,3.5,1.9,-5.0,0.0289999999999999,0.131,0.166,0.51,0.134,2,3,0
2,35.0,62,5.5,3.5,2.1,-1.6,0.0409999999999999,0.127,0.136,0.513,0.153,3,3,0
419,22.0,31,3.3,1.5,1.4,-13.5,0.019,0.12,0.17,0.425,0.222,1,3,230
419,23.0,33,10.7,2.8,3.6,-8.5,0.012,0.1,0.181,0.585,0.2289999999999999,2,3,230
419,24.0,48,7.1,1.6,2.3,-1.5,0.021,0.072,0.205,0.488,0.2289999999999999,3,3,230
