ID,age,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season_no,total_season,block_id
214,30.0,81,11.7,4.9,3.0,2.3,0.019,0.148,0.171,0.5589999999999999,0.158,3,3,121
173,23.0,58,8.9,4.7,4.0,-4.3,0.038,0.131,0.159,0.518,0.208,1,3,102
173,24.0,65,8.8,5.4,1.6,3.5,0.081,0.154,0.157,0.604,0.099,2,3,102
173,25.0,72,9.0,4.8,2.1,-0.3,0.0559999999999999,0.13,0.146,0.575,0.114,3,3,102
412,22.0,11,3.6,1.1,1.5,8.4,0.0,0.089,0.2319999999999999,0.381,0.195,1,3,225
412,23.0,26,3.8,0.8,2.4,-2.0,0.021,0.062,0.204,0.541,0.38,2,3,225
412,24.0,3,3.3,1.3,2.3,-17.1,0.0,0.077,0.15,0.357,0.179,3,3,225
247,28.0,69,10.3,2.5,1.1,3.2,0.018,0.098,0.186,0.62,0.081,1,3,137
247,29.0,66,13.6,3.3,1.3,-1.8,0.036,0.096,0.1939999999999999,0.635,0.075,2,3,137
247,30.0,51,11.3,2.3,1.3,-1.8,0.0139999999999999,0.076,0.178,0.593,0.068,3,3,137
461,21.0,61,28.8,9.4,8.8,5.3,0.036,0.2239999999999999,0.355,0.585,0.4539999999999999,1,3,254
461,22.0,66,27.7,8.0,8.6,3.9,0.024,0.2019999999999999,0.35,0.5870000000000001,0.425,2,3,254
461,23.0,65,28.4,9.1,8.7,3.5,0.025,0.23,0.368,0.5710000000000001,0.4579999999999999,3,3,254
478,22.0,62,5.4,4.9,0.7,0.5,0.099,0.216,0.163,0.542,0.077,1,3,261
478,23.0,46,8.0,5.8,0.8,-12.9,0.091,0.24,0.21,0.556,0.0819999999999999,2,3,261
478,24.0,71,10.6,8.1,1.2,-9.6,0.077,0.214,0.17,0.5820000000000001,0.073,3,3,261
140,21.0,57,8.8,2.1,2.4,-8.2,0.0069999999999999,0.087,0.2,0.4539999999999999,0.16,1,3,82
140,22.0,51,12.0,1.8,1.9,0.7,0.015,0.074,0.246,0.581,0.161,2,3,82
140,23.0,76,18.5,3.4,4.0,6.6,0.015,0.094,0.252,0.598,0.207,3,3,82
157,26.0,55,13.7,3.2,2.9,3.3,0.023,0.075,0.2,0.5329999999999999,0.138,1,3,92
157,27.0,59,12.1,3.3,2.6,-0.2,0.0279999999999999,0.079,0.181,0.537,0.123,2,3,92
157,28.0,65,10.2,2.8,1.8,4.5,0.026,0.087,0.171,0.573,0.105,3,3,92
167,28.0,70,22.2,4.2,4.4,0.5,0.017,0.09,0.257,0.541,0.185,1,3,98
167,29.0,47,23.1,3.9,4.7,6.2,0.018,0.099,0.265,0.5770000000000001,0.22,2,3,98
167,30.0,62,22.1,4.3,5.1,-1.9,0.024,0.1009999999999999,0.2689999999999999,0.5529999999999999,0.238,3,3,98
